Fecha,Sociedad,Clase,Moneda,Monto_emision,Regimen,TNA_inicial,Plazo_meses,MONTO_ARS_EMISION_MILLONES,SECTOR
2016-07-22,BACS Banco de Crédito y Securitización S.A.,Clase IX,ARS,249500000,General,0.3000,24.3,249.5000,FINANCIERO
2016-07-25,Mercedes-Benz Compañía Financiera Argentina S.A.,Clase 28,ARS,150000000,General,0.2834,18.3,150.0000,FINANCIERO
2016-07-27,Carsa S.A.,Serie VI,ARS,89912856,General,0.3112,12.2,89.9129,COMERCIO
2016-08-03,BBVA Banco Francés S.A.,Clase 19,ARS,207500000,General,0.2850,18.3,207.5000,FINANCIERO
2016-08-03,BBVA Banco Francés S.A.,Clase 20,ARS,292500000,General,0.2875,36.5,292.5000,FINANCIERO
2016-08-04,Compañía Financiera Argentina S.A.,Clase XVIII,ARS,350000000,General,0.2950,18.3,350.0000,FINANCIERO
2016-08-05,Banco CMF S.A.,Clase 8,ARS,200000000,General,0.2813,18.3,200.0000,FINANCIERO
2016-08-08,CGM Leasing Argentina S.A.,Serie X Clase A,ARS,26000000,General,0.3088,30.5,26.0000,FINANCIERO
2016-08-08,CGM Leasing Argentina S.A.,Serie X Clase B,ARS,18000000,General,0.2994,30.5,18.0000,FINANCIERO
2016-08-08,FCA Compañía Financiera S.A.,Clase XI,ARS,160000000,General,0.2772,24.3,160.0000,FINANCIERO
2016-08-08,Celulosa Argentina S.A.,Clase 9,ARS,150000000,General,0.3050,18.3,150.0000,INDUSTRIA
2016-08-10,Central Térmica Güemes S.A.,Clase 7,ARS,172950000,General,0.2838,18.3,172.9500,ENERGIA
2016-08-10,Central Térmica Güemes S.A.,Clase 8,USD,1388000,General,0.0700,48.7,20.5000,ENERGIA
2016-08-10,Banco de Inversión y Comercio Exterior S.A.,Clase 1,ARS,509000000,General,0.2688,18.3,509.0000,FINANCIERO
2016-08-10,Banco de Inversión y Comercio Exterior S.A.,Clase 2,ARS,491000000,General,0.2813,36.5,491.0000,FINANCIERO
